Classe,Guerrier,Archer,Mage,Militaire,Soldat médiéval,Joker,Ninja,Moine,Ingénieur,Berserker,Nécromancien,Alien,Boxeur
Guerrier,,52.07,40.91,50.42,45.97,51.69,50.35,49.58,52.01,63.66,37.59,49.62,63.6
Archer,47.93,,50.32,38.42,50.17,59.82,41.49,63.9,50.3,48.88,50.65,49.97,50.27
Mage,59.09,49.68,,49.01,66.41,40.3,48.34,55.32,51.19,50.2,42.3,49.92,49.5
Militaire,49.58,61.58,50.99,,49.15,49.97,59.65,39.0,41.22,50.11,49.45,49.93,52.05
Soldat médiéval,54.03,49.83,33.59,50.85,,48.4,50.03,48.7,50.83,55.76,56.19,33.29,64.93
Joker,48.31,40.18,59.7,50.03,51.6,,40.03,63.72,50.53,48.16,53.44,50.3,49.24
Ninja,49.65,58.51,51.66,40.35,49.97,59.97,,52.53,50.43,50.93,52.92,50.3,40.94
Moine,50.42,36.1,44.68,61.0,51.3,36.28,47.47,,48.82,61.3,43.5,47.23,52.34
Ingénieur,47.99,49.7,48.81,58.78,49.17,49.47,49.57,51.18,,36.75,49.57,59.32,39.03
Berserker,36.34,51.12,49.8,49.89,44.24,51.84,49.07,38.7,63.25,,50.31,61.2,50.9
Nécromancien,62.41,49.35,57.7,50.55,43.81,46.56,47.08,56.5,50.43,49.69,,37.63,52.04
Alien,50.38,50.03,50.08,50.07,66.71,49.7,49.7,52.77,40.68,38.8,62.37,,51.61
Boxeur,36.4,49.73,50.5,47.95,35.07,50.76,59.06,47.66,60.97,49.1,47.96,48.39,
