level,class_a,class_b,profile_a,profile_b,games,wins_a,draws,score_a_percent
1,Guerrier,Archer,balanced,balanced,600,423,0,70.5
1,Guerrier,Mage,balanced,balanced,600,287,0,47.833
1,Guerrier,Trooper,balanced,balanced,600,449,0,74.833
1,Guerrier,Paladin,balanced,balanced,600,218,1,36.417
1,Guerrier,Ninja,balanced,balanced,600,348,0,58.0
1,Guerrier,Moine,balanced,balanced,600,173,1,28.917
1,Guerrier,Ingénieur,balanced,balanced,600,328,0,54.667
1,Guerrier,Berserker,balanced,balanced,600,238,0,39.667
1,Archer,Mage,balanced,balanced,600,444,0,74.0
1,Archer,Trooper,balanced,balanced,600,309,0,51.5
1,Archer,Paladin,balanced,balanced,600,429,0,71.5
1,Archer,Ninja,balanced,balanced,600,311,0,51.833
1,Archer,Moine,balanced,balanced,600,324,0,54.0
1,Archer,Ingénieur,balanced,balanced,600,206,0,34.333
1,Archer,Berserker,balanced,balanced,600,243,1,40.583
1,Mage,Trooper,balanced,balanced,600,363,0,60.5
1,Mage,Paladin,balanced,balanced,600,457,0,76.167
1,Mage,Ninja,balanced,balanced,600,350,0,58.333
1,Mage,Moine,balanced,balanced,600,407,0,67.833
1,Mage,Ingénieur,balanced,balanced,600,273,0,45.5
1,Mage,Berserker,balanced,balanced,600,256,0,42.667
1,Trooper,Paladin,balanced,balanced,600,369,2,61.667
1,Trooper,Ninja,balanced,balanced,600,299,0,49.833
1,Trooper,Moine,balanced,balanced,600,368,0,61.333
1,Trooper,Ingénieur,balanced,balanced,600,288,3,48.25
1,Trooper,Berserker,balanced,balanced,600,259,3,43.417
1,Paladin,Ninja,balanced,balanced,600,368,0,61.333
1,Paladin,Moine,balanced,balanced,600,194,1,32.417
1,Paladin,Ingénieur,balanced,balanced,600,398,0,66.333
1,Paladin,Berserker,balanced,balanced,600,416,0,69.333
1,Ninja,Moine,balanced,balanced,600,393,0,65.5
1,Ninja,Ingénieur,balanced,balanced,600,297,0,49.5
1,Ninja,Berserker,balanced,balanced,600,332,1,55.417
1,Moine,Ingénieur,balanced,balanced,600,400,0,66.667
1,Moine,Berserker,balanced,balanced,600,403,0,67.167
1,Ingénieur,Berserker,balanced,balanced,600,349,1,58.25
5,Guerrier,Archer,offense,offense,600,440,0,73.333
5,Guerrier,Archer,offense,balanced,600,440,0,73.333
5,Guerrier,Archer,offense,resilient,600,435,0,72.5
5,Guerrier,Archer,balanced,offense,600,433,0,72.167
5,Guerrier,Archer,balanced,balanced,600,421,0,70.167
5,Guerrier,Archer,balanced,resilient,600,425,0,70.833
5,Guerrier,Archer,resilient,offense,600,398,0,66.333
5,Guerrier,Archer,resilient,balanced,600,388,0,64.667
5,Guerrier,Archer,resilient,resilient,600,391,0,65.167
5,Guerrier,Mage,offense,offense,600,352,0,58.667
5,Guerrier,Mage,offense,balanced,600,309,0,51.5
5,Guerrier,Mage,offense,resilient,600,294,0,49.0
5,Guerrier,Mage,balanced,offense,600,363,0,60.5
5,Guerrier,Mage,balanced,balanced,600,321,0,53.5
5,Guerrier,Mage,balanced,resilient,600,293,0,48.833
5,Guerrier,Mage,resilient,offense,600,361,0,60.167
5,Guerrier,Mage,resilient,balanced,600,319,0,53.167
5,Guerrier,Mage,resilient,resilient,600,293,0,48.833
5,Guerrier,Trooper,offense,offense,600,398,0,66.333
5,Guerrier,Trooper,offense,balanced,600,408,0,68.0
5,Guerrier,Trooper,offense,resilient,600,432,0,72.0
5,Guerrier,Trooper,balanced,offense,600,383,0,63.833
5,Guerrier,Trooper,balanced,balanced,600,393,0,65.5
5,Guerrier,Trooper,balanced,resilient,600,412,0,68.667
5,Guerrier,Trooper,resilient,offense,600,355,0,59.167
5,Guerrier,Trooper,resilient,balanced,600,375,0,62.5
5,Guerrier,Trooper,resilient,resilient,600,384,1,64.083
5,Guerrier,Paladin,offense,offense,600,284,0,47.333
5,Guerrier,Paladin,offense,balanced,600,260,0,43.333
5,Guerrier,Paladin,offense,resilient,600,256,0,42.667
5,Guerrier,Paladin,balanced,offense,600,265,1,44.25
5,Guerrier,Paladin,balanced,balanced,600,247,0,41.167
5,Guerrier,Paladin,balanced,resilient,600,246,0,41.0
5,Guerrier,Paladin,resilient,offense,600,234,0,39.0
5,Guerrier,Paladin,resilient,balanced,600,214,0,35.667
5,Guerrier,Paladin,resilient,resilient,600,216,0,36.0
5,Guerrier,Ninja,offense,offense,600,379,0,63.167
5,Guerrier,Ninja,offense,balanced,600,363,0,60.5
5,Guerrier,Ninja,offense,resilient,600,368,0,61.333
5,Guerrier,Ninja,balanced,offense,600,358,0,59.667
5,Guerrier,Ninja,balanced,balanced,600,353,0,58.833
5,Guerrier,Ninja,balanced,resilient,600,351,0,58.5
5,Guerrier,Ninja,resilient,offense,600,344,0,57.333
5,Guerrier,Ninja,resilient,balanced,600,320,0,53.333
5,Guerrier,Ninja,resilient,resilient,600,326,0,54.333
5,Guerrier,Moine,offense,offense,600,214,0,35.667
